Acadept,Degname,Major,Acad Yr,Count of OSIR
ART,BFA,Art Studio and Design - Design and Media Arts (BFA),2017,141
ART,BFA,Art Studio and Design - Art Studio (BFA),2017,80
ART,BFA,3-D Studio (BFA),2017,3
ART,BFA,2-D Studio (BFA),2017,22
ART,BFA,Art Studio and Design- Design and Media Arts (BFA),2016,1
ART,BFA,Art Studio and Design - Design and Media Arts (BFA),2016,130
ART,BFA,Art Studio and Design - Art Studio (BFA),2016,62
ART,BFA,3-D Studio (BFA),2016,9
ART,BFA,2-D Studio (BFA),2016,46
ART,BS,Art (BS),2025,28
ART,BS,Art (BS),2024,30
ART,BS,Art (BS),2023,32
ART,BS,Art (BS),2022,40
ART,BS,Art (BS),2021,29
ART,BS,Art (BS),2020,26
ART,BS,Art (BS),2019,28
ART,BS,Art (BS),2018,37
ART,BS,Art (BS),2017,22
ART,BS,Art (BS),2016,5
ART,BSED,Art and Design Education (BSED),2025,89
ART,BSED,Art and Design Education (BSED),2024,87
ART,BSED,Art and Design Education (BSED),2023,88
ART,BSED,Art and Design Education (BSED),2022,86
ART,BSED,Art and Design Education (BSED),2021,81
ART,BSED,Art and Design Education (BSED),2020,82
ART,BSED,Art and Design Education (BSED),2019,73
ART,BSED,Art and Design Education (BSED),2018,62
ART,BSED,Art and Design Education (BSED),2017,79
ART,BSED,Art and Design Education (BSED),2016,69
ART,MA,Art History and Visual Studies Teaching at the Two-Year College Level (MA),2025,1
ART,MA,Art - Studio Art (MA),2025,3
ART,MA,Art - Art History and Visual Studies Research (MA),2025,1
ART,MA,Art - Studio Art (MA),2024,5
ART,MA,Art - Art History and Visual Studies Research (MA),2024,2
ART,MA,Art - Studio Art (MA),2023,4
ART,MA,Art - Art History and Visual Studies Research (MA),2023,3
ART,MA,Art History and Visual Studies Teaching at the Two-Year College Level (MA),2022,1
ART,MA,Art - Studio Art (MA),2022,5
ART,MA,Art - Art History and Visual Studies Research (MA),2022,4
ART,MA,Art - Studio Art (MA),2021,7
ART,MA,Art - Art History and Visual Studies Research (MA),2021,4
ART,MA,Art History and Visual Studies Teaching at the Two-Year College Level (MA),2020,1
ART,MA,Art - Studio Art (MA),2020,5
ART,MA,Art - Art History and Visual Studies Research (MA),2020,4
ART,MA,Art History and Visual Studies Teaching at the Two-Year College Level (MA),2019,1
ART,MA,Art - Studio Art (MA),2019,4
ART,MA,Art - Art History and Visual Studies Research (MA),2019,3
ART,MA,Art - Studio Art (MA),2018,2
ART,MA,Art - Art History and Visual Studies Research (MA),2018,5
ART,MA,Art - Studio Art (MA),2017,3
ART,MA,Art - Art History and Visual Studies Research (MA),2017,6
ART,MA,Art - Studio Art (MA),2016,7
ART,MA,Art - Art History and Visual Studies Research (MA),2016,8
ART,MFA,Art and Design (MFA),2025,13
ART,MFA,Art and Design (MFA),2024,18
ART,MFA,Art and Design (MFA),2023,20
ART,MFA,Art and Design (MFA),2022,15
ART,MFA,Art and Design (MFA),2021,15
ART,MFA,Art and Design (MFA),2020,18
ART,MFA,Art and Design (MFA),2019,20
ART,MFA,Art and Design (MFA),2018,27
ART,MFA,Art and Design (MFA),2017,32
ART,MFA,Art and Design (MFA),2016,33
ART,MS,Art: Art and Design Education (MS),2025,22
ART,MS,Art: Art and Design Education (MS),2024,17
ART,MS,Art: Art and Design Education (MS),2023,10
ART,MS,Art: Art and Design Education (MS),2022,13
ART,MS,Art: Art and Design Education (MS),2021,22
ART,MS,Art: Art and Design Education (MS),2020,21
ART,MS,Art: Art and Design Education (MS),2019,20
ART,MS,Art: Art and Design Education (MS),2018,20
ART,MS,Art: Art and Design Education (MS),2017,19
ART,MS,Art: Art and Design Education (MS),2016,11
ART,PHD,Art and Design Education (PHD),2025,15
ART,PHD,Art and Design Education (PHD),2024,13
ART,PHD,Art and Design Education (PHD),2023,8
ART,PHD,Art and Design Education (PHD),2022,11
ART,PHD,Art and Design Education (PHD),2021,9
ART,PHD,Art and Design Education (PHD),2020,7
ART,PHD,Art and Design Education (PHD),2019,8
ART,PHD,Art and Design Education (PHD),2018,8
ART,PHD,Art and Design Education (PHD),2017,13
ART,PHD,Art and Design Education (PHD),2016,13
